Name                                Description                                                                                                                         
----                                -----------                                                                                                                         
Access Control Assistance Operators Members of this group can remotely query authorization attributes and permissions for resources on this computer.                   
Administrators                      Administrators have complete and unrestricted access to the computer/domain                                                         
Backup Operators                    Backup Operators can override security restrictions for the sole purpose of backing up or restoring files                           
Cryptographic Operators             Members are authorized to perform cryptographic operations.                                                                         
Device Owners                       Members of this group can change system-wide settings.                                                                              
Distributed COM Users               Members are allowed to launch, activate and use Distributed COM objects on this machine.                                            
Event Log Readers                   Members of this group can read event logs from local machine                                                                        
Guests                              Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted      
Hyper-V Administrators              Members of this group have complete and unrestricted access to all features of Hyper-V.                                             
IIS_IUSRS                           Built-in group used by Internet Information Services.                                                                               
Network Configuration Operators     Members in this group can have some administrative privileges to manage configuration of networking features                        
Performance Log Users               Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally...
Performance Monitor Users           Members of this group can access performance counter data locally and remotely                                                      
Power Users                         Power Users are included for backwards compatibility and possess limited administrative powers                                      
Remote Desktop Users                Members in this group are granted the right to logon remotely                                                                       
Remote Management Users             Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management...
Replicator                          Supports file replication in a domain                                                                                               
System Managed Accounts Group       Members of this group are managed by the system.                                                                                    
Users                               Users are prevented from making accidental or intentional system-wide changes and can run most applications                         




Get-LocalGroup | Out-File
